token_id,num_sales,last_sale,class,age,genre,origin,latent
1444,0,,Poet,0.33,ion,LJXP,IIVE
1452,0,,Poet,0.42,fen,8SF9,IS4E
1446,0,,Poet,0.28,nas,Y19Q,PLKN
1445,0,,Poet,0.32,son,T9XR,WZRT
1451,0,,Poet,0.30,nas,RJUE,63V9
1492,1,1.9,Poet,0.53,ion,442K,OF3B
1478,0,,Poet,0.19,nas,Z26K,4RJ9
1477,0,,Poet,0.81,iof,2EIA,OOO3
1459,0,,Poet,0.35,iof,1P6U,IS4E
1454,0,,Poet,0.33,iof,IGLJ,RH64
1457,0,,Poet,0.39,ioh,HOWV,IFYR
1460,0,,Poet,0.35,iof,6S6Z,14G8
1447,0,,Poet,0.35,soa,BA0C,C7H6
1453,0,,Poet,0.44,fei,I5JF,C14A
1470,0,,Poet,0.26,fei,E82W,PGVP
1471,0,,Poet,0.42,ion,ZZPH,FLKZ
1472,0,,Poet,0.49,ioh,SXSA,I29T
1474,0,,Poet,0.30,ion,BIB0,BIYU
1455,0,,Poet,0.32,nai,3VDC,5RXP
1461,0,,Poet,0.18,ioh,9O7O,DRF0
1448,0,,Poet,0.39,ioh,7CNA,EH03
1458,0,,Poet,0.33,iof,0ARK,17A2
1479,0,,Poet,0.33,fel,ZKVF,078H
1456,0,,Poet,0.44,ion,X58D,LCBO
1449,0,,Poet,0.58,nai,ZDHY,L01A
1462,0,,Poet,0.49,ioh,4IQQ,H7XY
1493,0,,Poet,0.37,nas,E1FR,MN18
1480,0,,Poet,0.37,nas,EXMQ,CNBJ
1463,0,,Poet,0.26,nai,6V23,RHOF
1450,0,,Poet,0.39,soa,NGQ2,G7PR
1481,0,,Poet,0.40,ion,NUQV,J56S
1464,0,,Poet,0.30,ion,742O,X3YM
1473,0,,Poet,0.30,naa,WZDU,GFAW
1482,0,,Poet,0.39,sof,M94X,CXBO
1465,0,,Poet,0.37,nai,Q8CK,4B97
1475,0,,Poet,0.63,nas,A3XJ,YANT
1483,0,,Poet,0.25,nal,8ZFI,36HP
1466,0,,Poet,0.88,fea,92I3,WZRT
1476,0,,Poet,0.40,ioh,82D5,QUMP
1484,0,,Poet,0.30,ion,2CHQ,OGD0
1467,0,,Poet,0.32,nai,8Q1H,63V9
1491,0,,Poet,0.35,ioh,0R6C,G7PR
1485,0,,Poet,0.37,ion,GQWY,ZXF2
1468,0,,Poet,0.23,ion,ZJJG,POTL
1494,0,,Poet,0.39,aeh,5HHM,NU5M
1486,0,,Poet,0.35,nas,TZJS,M1XD
1469,0,,Poet,0.67,fei,QXUW,LTGX
1487,0,,Poet,0.28,nai,QHD2,Y40M
1488,0,,Poet,0.42,nai,TEE5,DUCX
1489,0,,Poet,0.35,naa,L7J0,4HZ8
1490,0,,Poet,0.19,ioh,RC8Y,EL0U
1503,0,,Poet,0.33,nas,SYGI,4T30
1500,0,,Poet,0.49,fei,3N2I,ZFNI
1502,0,,Poet,0.33,naa,YBEL,P8IX
1504,1,1.1,Poet,0.46,ioh,AZL9,D3PL
1495,0,,Poet,0.37,sof,E1FR,X6Q0
1501,1,1.1,Poet,0.35,ioh,OGXK,BIYU
1498,0,,Poet,0.37,ion,O18F,4B97
1546,0,,Poet,0.07,fes,WZ9Y,ZYML
1506,0,,Poet,0.23,aef,6AF2,N364
1505,0,,Poet,0.35,nas,0LJY,C14A
1496,0,,Poet,0.28,ion,HEM1,3NEH
1499,0,,Poet,0.46,luf,SCDR,POTL
1547,0,,Poet,0.26,luf,D102,VQD0
1507,0,,Poet,0.33,nas,3NPK,YAZK
1561,0,,Poet,0.39,ioh,PLTJ,SC5A
1497,0,,Poet,0.40,ioh,744A,ZXF2
1560,1,1.37,Poet,0.33,ion,U1ZK,R05Q
1565,1,1.25,Poet,0.25,nas,6J91,7B4L
1585,1,2.0,Poet,0.37,ioh,16BF,PTGZ
1548,0,,Poet,0.47,ioh,AEHY,83L5
1508,0,,Poet,0.33,sof,DFJ9,0J0D
1562,1,1.1,Poet,0.35,ioh,2JSA,078H
